service_request_id,requested_datetime,updated_datetime,source,service_name,description,agency_responsible,address,council_district,status_description,lat,long
5080696,7/1/2018 13:35,,UNKNOWN,PARK MAINTAIN,"PARK MAINTENANCE ALL, PKMTN, PKREP, PKREC",METRO PARKS,"1080 AMPHITHEATER RD , LOUISVILLE, KY, 40214",15,CLOSED,38.15982845,-85.78010253
5080697,7/1/2018 13:56,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"7203 URANUS DR , LOUISVILLE, KY, 40258",12,CLOSED,38.15091178,-85.85960919
5080699,7/1/2018 15:09,,UNKNOWN,ANIMAL CRUELTY,"ANIMAL CRUELTY, MISTREATED, NEGLECTED, ANIMC",ANIMAL SERVICES,"3107 BINNACLE PL , JEFFERSONTOWN, KY, 40220",11,CLOSED,38.20126633,-85.59764657
5080700,7/1/2018 15:14,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"4401 LA SALLE AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.17787014,-85.7915358
5080701,7/1/2018 15:29,,UNKNOWN,TRASH PVT PROP,"TRASH PRIVATE PROPERTY, TRASH, GARBAGE, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"1257 LUCAS AVE , LOUISVILLE, KY, 40213",10,CLOSED,38.19165353,-85.7229195
5079657,7/1/2018 15:53,,UNKNOWN,TRAFFIC CONCERN,"TRAFFIC CONCERN, SPEED, ILLEGAL PARKING OUTSIDE PARC AREAS, ILLPK, TRAFC",METRO POLICE DEPARTMENT," ALGONQUIN PKY , LOUISVILLE, KY, 40210",3,CLOSED,38.22242928,-85.78385178
5080703,7/1/2018 16:10,,UNKNOWN,NEW RECYCLE CART,"NEW RECYCLE CART, RECYN, SWMS",SWMS - ADMINISTRATION,"1939 MAPLEWOOD PL , LOUISVILLE, KY, 40205",8,OPEN,38.23087415,-85.70607972
5080704,7/1/2018 16:42,,UNKNOWN,RECYCLE BINS,"RECYCLE BINS, RECYCLING, NEW RECYB, DAMAGED, MISSING, SWMS",SWMS - ADMINISTRATION,"2213 BANK ST , LOUISVILLE, KY, 40212",5,CLOSED,38.26763432,-85.78562798
5088887,7/1/2018 16:47,,UNKNOWN,ZONING CONCERNS,"ZONING, ILLEGAL BUSINESS OR SIGNS ON PRIVATE PROPERTY, ILSGN, ZONE",IPL-PROPERTY MAINTENANCE DIV.,"4708 ANDALUSIA LN , LOUISVILLE, KY, 40272",25,CLOSED,38.11581716,-85.85006555
5088844,7/1/2018 17:12,,UNKNOWN,ALLEY POTHOLE,"ALLEY POTHOLE, POTHL",LPM,"1012 HULL ST , LOUISVILLE, KY, 40204",4,CLOSED,38.24644132,-85.73004483
5088886,7/1/2018 17:13,,UNKNOWN,ALLEY POTHOLE,"ALLEY POTHOLE, POTHL",LPM,"1002 HULL ST , LOUISVILLE, KY, 40204",4,CLOSED,38.24629347,-85.73044231
5088901,7/1/2018 17:16,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"1016 PAYNE ST , LOUISVILLE, KY, 40204",4,CLOSED,38.24563846,-85.72968371
5080705,7/1/2018 17:18,,UNKNOWN,BEDBUGS CODES,"BEDBUGS, BEDBG, LPM RESIDENTIAL",IPL-PROPERTY MAINTENANCE DIV.,"921 W EVELYN AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.19684588,-85.77600965
5080706,7/1/2018 18:09,,UNKNOWN,STREET HAZARD,"STREET OBSTRUCTION, POSSIBLE DANGER TO MOTORISTS, DOWNED TREES, ROWOB",LPM," MANNER DALE DR , LOUISVILLE, KY, 40220",11,CLOSED,38.20194044,-85.61994074
5089014,7/1/2018 18:44,,UNKNOWN,JUNK VIOLATION,"JUNK VIOLATION, JUNKV, SWMS",SWMS - ENFORCEMENT UNIT,"2432 GLENMARY AVE A1, LOUISVILLE, KY, 40204",8,CLOSED,38.24072399,-85.71080404
5089015,7/1/2018 18:45,,UNKNOWN,ILLEGAL DUMPING,"ILLEGAL DUMPING, NOT ON PRIVATE PROPERTY, DUMPV, SWMS",SWMS - ENFORCEMENT UNIT,"2454 GLENMARY AVE 1, LOUISVILLE, KY, 40204",8,CLOSED,38.24100247,-85.71027686
5088843,7/1/2018 19:27,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"1144 S 7TH ST , LOUISVILLE, KY, 40203",6,CLOSED,38.23609509,-85.76521469
5080708,7/1/2018 21:38,,UNKNOWN,DAMAGE GARB CART,"DAMAGED GARBAGE CART, CARTD, SWMS",SWMS - ADMINISTRATION,"3001 DALE ANN DR , LOUISVILLE, KY, 40220",26,CLOSED,38.20664595,-85.63498438
5080709,7/1/2018 22:08,,UNKNOWN,STOLEN GARB CART,"STOLEN GARBAGE CART, CARTS, MISSING, SWMS",SWMS - ADMINISTRATION,"720 CREEL AVE , LOUISVILLE, KY, 40208",6,OPEN,38.21335887,-85.7708322
5080710,7/1/2018 22:13,,UNKNOWN,LIGHTING REPAIR,"LIGHTING REPAIR, STREET LIGHT, STLGT",PUBLIC WORKS ADMINISTRATION,"4530 MERIDALE AVE , LOUISVILLE, KY, 40214",21,CLOSED,38.18705371,-85.76324246
5088883,7/1/2018 23:17,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"10604 HUME CT , LOUISVILLE, KY, 40272",25,CLOSED,38.10064882,-85.84703847
5089016,7/1/2018 23:34,,UNKNOWN,LIGHTING REPAIR,"LIGHTING REPAIR, STREET LIGHT, STLGT",PUBLIC WORKS ADMINISTRATION,"6716 CASSIDY CIR , LOUISVILLE, KY, 40229",23,CLOSED,38.09484956,-85.64978812
5088848,7/2/2018 5:30,,UNKNOWN,LIGHTING REPAIR,"LIGHTING REPAIR, STREET LIGHT, STLGT",PUBLIC WORKS ADMINISTRATION,"528 DENMARK ST , LOUISVILLE, KY, 40215",15,CLOSED,38.19557848,-85.77000774
5080712,7/2/2018 5:37,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM," STONEMEADOW CT , LOUISVILLE, KY, 40218",22,CLOSED,38.19037339,-85.61615644
5080713,7/2/2018 5:45,,UNKNOWN,TRAF SIGNAL REPR,"TRAFFIC SIGNAL REPAIR, TRSGR",PUBLIC WORKS - ELEC MAINT,"5000 SHELBYVILLE RD , ST MATTHEWS, KY, 40207",26,CLOSED,38.24790368,-85.62338039
5080716,7/2/2018 6:39,,UNKNOWN,JUNK VIOLATION,"JUNK VIOLATION, JUNKV, SWMS",SWMS - ENFORCEMENT UNIT,"2711 W MUHAMMAD ALI BLVD , LOUISVILLE, KY, 40212",5,CLOSED,38.25562632,-85.79609812
5080717,7/2/2018 6:41,,UNKNOWN,GARBAGE VIOLATIO,"GARBAGE VIOLATION, GARBV, SWMS",SWMS - ENFORCEMENT UNIT,"3609 KINGS HWY , LOUISVILLE, KY, 40220",26,CLOSED,38.22039338,-85.6474863
5080718,7/2/2018 6:44,,UNKNOWN,JUNK VIOLATION,"JUNK VIOLATION, JUNKV, SWMS",SWMS - ENFORCEMENT UNIT,"2914 ABIGAIL DR 1, LOUISVILLE, KY, 40205",26,CLOSED,38.22379108,-85.65065354
5080719,7/2/2018 6:56,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM," SYLVAN WAY , LOUISVILLE, KY, 40205",10,CLOSED,38.20807173,-85.69721404
5080720,7/2/2018 6:58,,UNKNOWN,NEW GARBAGE CART,"NEW GARBAGE CART, CARTN, SWMS",SWMS - ADMINISTRATION,"3232 CAWEIN WAY , LOUISVILLE, KY, 40220",26,CLOSED,38.21560467,-85.64189428
5080721,7/2/2018 7:02,,UNKNOWN,NEW RECYCLE CART,"NEW RECYCLE CART, RECYN, SWMS",SWMS - ADMINISTRATION,"1763 SULGRAVE RD , LOUISVILLE, KY, 40205",8,CLOSED,38.23409156,-85.69024247
5080723,7/2/2018 7:03,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"1500 SYLVAN WYNDE , LOUISVILLE, KY, 40205",10,CLOSED,38.20835533,-85.69691992
5080725,7/2/2018 7:03,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"1504 SYLVAN WYNDE , LOUISVILLE, KY, 40205",10,CLOSED,38.20875703,-85.69663902
5080727,7/2/2018 7:03,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"1412 SYLVAN WAY , LOUISVILLE, KY, 40205",10,CLOSED,38.20658761,-85.69573614
5080729,7/2/2018 7:03,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"1420 SYLVAN WAY , LOUISVILLE, KY, 40205",10,CLOSED,38.20729913,-85.69638376
5080731,7/2/2018 7:03,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"1521 SYLVAN WAY , LOUISVILLE, KY, 40205",10,CLOSED,38.20976544,-85.69969776
5080726,7/2/2018 7:05,,UNKNOWN,NEW RECYCLE CART,"NEW RECYCLE CART, RECYN, SWMS",SWMS - ADMINISTRATION,"418 MCCREADY AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.24957596,-85.67137079
5080732,7/2/2018 7:14,,UNKNOWN,ALLEY REPAIR,"ALLEY REPAIR, CRACK SEAL, UNEVEN SURFACE, SKIN PATCH, DEPRESSION, STREP",LPM,"319 IOWA AVE , LOUISVILLE, KY, 40208",15,CLOSED,38.20787074,-85.76456004
5080733,7/2/2018 7:15,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"135 N BAYLY AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.25630577,-85.69232349
5080734,7/2/2018 7:16,,UNKNOWN,NOISE CONCERNS,"ILLEGAL NOISE, MUSIC, NOT ANIMAL NOISE",METRO POLICE DEPARTMENT,"1725 DUNCAN ST , LOUISVILLE, KY, 40203",5,CLOSED,38.2619401,-85.77858283
5080735,7/2/2018 7:18,,UNKNOWN,UTILITY CUT,"UTILITY CUT, PLATES, OBSTRUCTION, RIGHT OF WAY, ROWOB",LOUISVILLE WATER COMPANY,"1202 DURRETT LN , LOUISVILLE, KY, 40213",21,CLOSED,38.18646149,-85.72346498
5080736,7/2/2018 7:19,,UNKNOWN,PESTS,"PEST, INSECTS, MICE, BUGS, NOT MOSQUITOES, INFESTATION",IPL-PROPERTY MAINTENANCE DIV.,"1768 W ORMSBY AVE , LOUISVILLE, KY, 40210",6,CLOSED,38.23491815,-85.78551089
5080737,7/2/2018 7:21,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"3108 DOREEN WAY , LOUISVILLE, KY, 40220",26,CLOSED,38.21840905,-85.65470275
5080740,7/2/2018 7:24,,UNKNOWN,LONG LINE STRIPE,"LONG LINE STRIPE, LANE MARKING, NEW, REFRESH, MARKR",PUBLIC WORKS - TRAFFIC ENG," LOWER HUNTERS TRCE , LOUISVILLE, KY, 40216",12,CLOSED,38.15862938,-85.84933363
5080743,7/2/2018 7:25,,UNKNOWN,INTERIOR VIOL,"INTERIOR VIOLATION, INCLUDES NO HEAT, ELECTRICAL, INTVI",IPL-PROPERTY MAINTENANCE DIV.,"4034 PARTHENIA AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.18446953,-85.79342249
5080747,7/2/2018 7:27,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM," S 6TH ST , LOUISVILLE, KY, 40202",4,CLOSED,38.25342842,-85.76046482
5080749,7/2/2018 7:28,,UNKNOWN,NEW GARBAGE CART,"NEW GARBAGE CART, CARTN, SWMS",SWMS - ADMINISTRATION,"312 PENRUTH AVE , LOUISVILLE, KY, 40207",9,CLOSED,38.26392502,-85.68153378
5080748,7/2/2018 7:29,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"5205 E MANSLICK RD , LOUISVILLE, KY, 40219",23,CLOSED,38.11921737,-85.66349489
5080750,7/2/2018 7:32,,UNKNOWN,NEW RECYCLE CART,"NEW RECYCLE CART, RECYN, SWMS",SWMS - ADMINISTRATION,"989 EASTERN PKY , LOUISVILLE, KY, 40217",10,CLOSED,38.22056639,-85.7338345
5080751,7/2/2018 7:34,,UNKNOWN,ILLEGAL PARKING,"ILLEGAL PARKING IN PARC AREAS ONLY, ILLPK",PARKING AUTHORITY OF RIVER CTY," N BAYLY AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.25473473,-85.69225093
5080753,7/2/2018 7:36,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"9006 DENISE DR , LOUISVILLE, KY, 40219",23,CLOSED,38.11899401,-85.66243722
5080754,7/2/2018 7:37,,UNKNOWN,ILLEGAL PARKING,"ILLEGAL PARKING IN PARC AREAS ONLY, ILLPK",PARKING AUTHORITY OF RIVER CTY,"1315 LEXINGTON RD , LOUISVILLE, KY, 40204",9,CLOSED,38.25055824,-85.7269978
5080755,7/2/2018 7:38,,UNKNOWN,WEATHER RELATED,"WEATHER RELATED, STORM",PUBLIC WORKS STORM/SNOW EVENT,"200 S 43RD ST , LOUISVILLE, KY, 40212",5,CLOSED,38.26353571,-85.81999866
5080756,7/2/2018 7:39,,UNKNOWN,HEALTH CONCERNS,"HEALTH CONCERNS, HELTH",HEALTH DEPT - ENVIR. HEALTH,"5929 TIMBER RIDGE DR , PROSPECT, KY, 40059",16,CLOSED,38.34025791,-85.62135962
5080758,7/2/2018 7:41,,UNKNOWN,GARBAGE MISSED,"GARBAGE MISSED, GARBM, SWMS",SWMS - WASTE COLLECTION,"2500 W OAK ST 2, LOUISVILLE, KY, 40210",6,OPEN,38.23756464,-85.79495806
5079018,7/2/2018 7:43,,UNKNOWN,RECYCLING MISSED,"RECYCLING MISSED, RECYM, SWMS",SWMS - WASTE COLLECTION,"3701 FRANKFORT AVE , LOUISVILLE, KY, 40207",9,CLOSED,38.25443278,-85.66266124
5080759,7/2/2018 7:45,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"1737 S 25TH ST , LOUISVILLE, KY, 40210",3,CLOSED,38.22649654,-85.79828434
5080760,7/2/2018 7:45,,UNKNOWN,ILLEGAL DUMPING,"ILLEGAL DUMPING, NOT ON PRIVATE PROPERTY, DUMPV, SWMS",SWMS - ENFORCEMENT UNIT,"1757 W LEE ST , LOUISVILLE, KY, 40210",3,CLOSED,38.22673962,-85.78737127
5080764,7/2/2018 7:51,,UNKNOWN,DAMAGE GARB CART,"DAMAGED GARBAGE CART, CARTD, SWMS",SWMS - ADMINISTRATION,"2826 ELEANOR AVE , LOUISVILLE, KY, 40205",8,CLOSED,38.21544255,-85.67917577
5080766,7/2/2018 7:58,,UNKNOWN,EASEMENT OTHER,"EASEMENT, OBSTRUCTION, ROWOB",LPM,"1652 LUCIA AVE , LOUISVILLE, KY, 40204",8,CLOSED,38.23679733,-85.71863622
5080768,7/2/2018 7:59,,UNKNOWN,PESTS,"PEST, INSECTS, MICE, BUGS, NOT MOSQUITOES, INFESTATION",IPL-PROPERTY MAINTENANCE DIV.,"1132 MILTON ST , LOUISVILLE, KY, 40217",10,CLOSED,38.22261766,-85.73709316
5080769,7/2/2018 8:00,,UNKNOWN,EASEMNT DRAINAGE,"EASEMENT DRAINAGE, STANDING WATER NEAR ROADWAY",LPM,"6516 LOVERS LN , LOUISVILLE, KY, 40291",22,OPEN,38.15169226,-85.57876125
5080771,7/2/2018 8:04,,UNKNOWN,ABANDON VEHICLE,"ABANDONED VEHICLE ROW, STREET,  ALLEY, AVROW, VEHIC",METRO POLICE DEPARTMENT,"2308 DATE ST , LOUISVILLE, KY, 40210",6,OPEN,38.2431559,-85.79228761
5080751,7/2/2018 8:08,,UNKNOWN,ILLEGAL PARKING,"ILLEGAL PARKING IN PARC AREAS ONLY, ILLPK",PARKING AUTHORITY OF RIVER CTY," N BAYLY AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.25473473,-85.69225093
5080774,7/2/2018 8:08,,UNKNOWN,YARD WASTE MISS,"YARD WASTE MISSED, YARDM, SWMS",SWMS - WASTE COLLECTION,"900 BARRINGTON CT , LOUISVILLE, KY, 40207",9,CLOSED,38.2413822,-85.65788752
5080779,7/2/2018 8:10,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"2013 W JEFFERSON ST , LOUISVILLE, KY, 40203",4,CLOSED,38.2570802,-85.78414743
5080780,7/2/2018 8:11,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"4320 S 1ST ST , LOUISVILLE, KY, 40214",15,CLOSED,38.19246408,-85.7617613
5080781,7/2/2018 8:12,,UNKNOWN,STREET HAZARD,"STREET OBSTRUCTION, POSSIBLE DANGER TO MOTORISTS, DOWNED TREES, ROWOB",LPM," VORSTER AVE , LOUISVILLE, KY, 40210",3,CLOSED,38.22560878,-85.79678098
5054037,7/2/2018 8:14,,UNKNOWN,STOLEN GARB CART,"STOLEN GARBAGE CART, CARTS, MISSING, SWMS",SWMS - ADMINISTRATION,"1343 S SHELBY ST , LOUISVILLE, KY, 40217",4,CLOSED,38.22893512,-85.74176604
5079926,7/2/2018 8:14,,UNKNOWN,GARBAGE MISSED,"GARBAGE MISSED, GARBM, SWMS",SWMS - WASTE COLLECTION,"3402 PFLANZ AVE , LOUISVILLE, KY, 40212",5,CLOSED,38.27391044,-85.80282462
5080786,7/2/2018 8:17,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"750 ZORN AVE 1, LOUISVILLE, KY, 40206",9,CLOSED,38.269778,-85.6942075
5080789,7/2/2018 8:18,,UNKNOWN,INTERIOR VIOL,"INTERIOR VIOLATION, INCLUDES NO HEAT, ELECTRICAL, INTVI",IPL-PROPERTY MAINTENANCE DIV.,"2627 W MADISON ST , LOUISVILLE, KY, 40211",5,CLOSED,38.25444941,-85.79558546
5080790,7/2/2018 8:20,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"8617 JAMES R RD , LOUISVILLE, KY, 40118",13,CLOSED,38.12341939,-85.75647451
5080791,7/2/2018 8:20,,UNKNOWN,GARBAGE MISSED,"GARBAGE MISSED, GARBM, SWMS",SWMS - WASTE COLLECTION,"1305 S 26TH ST , LOUISVILLE, KY, 40210",6,OPEN,38.23659634,-85.79611441
5080796,7/2/2018 8:23,,UNKNOWN,GARBAGE MISSED,"GARBAGE MISSED, GARBM, SWMS",SWMS - WASTE COLLECTION,"3311 GRAND AVE , LOUISVILLE, KY, 40211",1,CLOSED,38.24194902,-85.80851397
5080794,7/2/2018 8:25,,UNKNOWN,TRASH PVT PROP,"TRASH PRIVATE PROPERTY, TRASH, GARBAGE, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"11300 BRENTLINGER LN , LOUISVILLE, KY, 40291",22,CLOSED,38.13398466,-85.5529061
5080795,7/2/2018 8:26,,UNKNOWN,RECYCLING MISSED,"RECYCLING MISSED, RECYM, SWMS",SWMS - WASTE COLLECTION,"134 WOODMORE AVE , LOUISVILLE, KY, 40214",21,CLOSED,38.15185622,-85.77439436
5080799,7/2/2018 8:29,,UNKNOWN,ABANDON VEHICLE,"ABANDONED VEHICLE ROW, STREET,  ALLEY, AVROW, VEHIC",METRO POLICE DEPARTMENT,"5108 GATHWRIGHT DR , LOUISVILLE, KY, 40218",2,CLOSED,38.19016289,-85.6642586
5080804,7/2/2018 8:31,,UNKNOWN,UTILITY CONCERNS,"UTILITY CONCERNS, UTIL",PUBLIC WORKS INSPECTION GROUP,"3042 WEDGEWOOD WAY , LOUISVILLE, KY, 40220",26,CLOSED,38.21702079,-85.65116006
5080805,7/2/2018 8:32,,UNKNOWN,VAP EXTERIOR,"PRIVATE PROPERTY, ABANDONED, VACANT STRUCTURE",IPL-PROPERTY MAINTENANCE DIV.,"1700 OWEN ST , LOUISVILLE, KY, 40203",5,CLOSED,38.26212279,-85.77805374
4979035,7/2/2018 8:33,,UNKNOWN,VAP EXTERIOR,"PRIVATE PROPERTY, ABANDONED, VACANT STRUCTURE",IPL-PROPERTY MAINTENANCE DIV.,"319 SHAWNEE DR , LOUISVILLE, KY, 40212",5,CLOSED,38.26145814,-85.824583
5080809,7/2/2018 8:34,,UNKNOWN,RECYCLE BINS,"RECYCLE BINS, RECYCLING, NEW RECYB, DAMAGED, MISSING, SWMS",SWMS - ADMINISTRATION,"640 N BIRCHWOOD AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.26689935,-85.69934756
5080810,7/2/2018 8:36,,UNKNOWN,RAT BAITING,"RATS, PRIVATE PROPERTY ONLY",IPL-PROPERTY MAINTENANCE DIV.,"2900 EDMONIA AVE , LOUISVILLE, KY, 40220",26,CLOSED,38.22471625,-85.62503787
5080812,7/2/2018 8:38,,UNKNOWN,PARK MAINTAIN,"PARK MAINTENANCE ALL, PKMTN, PKREP, PKREC",METRO PARKS,"4666 CLIFF AVE , LOUISVILLE, KY, 40215",21,CLOSED,38.18308617,-85.77686903
5080814,7/2/2018 8:40,,UNKNOWN,MISCELLANEOUS,"MISCELLANEOUS, MISC, CONCERN, ISSUE",SWMS - ADMINISTRATION,"3311 GRAND AVE , LOUISVILLE, KY, 40211",1,CLOSED,38.24194902,-85.80851397
5080815,7/2/2018 8:41,,UNKNOWN,VEHICLE PVT PROP,"VEHICLE PRIVATE PROPERTY, ABANDONED, INOPERABLE, NOT LICENSED, AVPRI",IPL-PROPERTY MAINTENANCE DIV.,"3000 KLONWAY DR , LOUISVILLE, KY, 40220",26,CLOSED,38.20493992,-85.63456902
5080567,7/2/2018 8:43,,UNKNOWN,GARBAGE VIOLATIO,"GARBAGE VIOLATION, GARBV, SWMS",SWMS - ENFORCEMENT UNIT,"2006 BRADLEY AVE , LOUISVILLE, KY, 40217",15,CLOSED,38.21694711,-85.75077265
5080816,7/2/2018 8:43,,UNKNOWN,TRAF SIGNAL REPR,"TRAFFIC SIGNAL REPAIR, TRSGR",PUBLIC WORKS - ELEC MAINT," BRIARCLIFF RD , LOUISVILLE, KY, 40219",13,OPEN,38.13618747,-85.69710043
5080817,7/2/2018 8:44,,UNKNOWN,STOLEN GARB CART,"STOLEN GARBAGE CART, CARTS, MISSING, SWMS",SWMS - ADMINISTRATION,"4014 PARTHENIA AVE , LOUISVILLE, KY, 40215",15,OPEN,38.18549225,-85.7933433
5080695,7/2/2018 8:47,,UNKNOWN,ZONING CONCERNS,"ZONING, ILLEGAL BUSINESS OR SIGNS ON PRIVATE PROPERTY, ILSGN, ZONE",IPL-PROPERTY MAINTENANCE DIV.,"2122 EDGEHILL RD , LOUISVILLE, KY, 40205",8,CLOSED,38.22996556,-85.69521258
5080818,7/2/2018 8:48,,UNKNOWN,ABANDON VEHICLE,"ABANDONED VEHICLE ROW, STREET,  ALLEY, AVROW, VEHIC",METRO POLICE DEPARTMENT," MARRET AVE , LOUISVILLE, KY, 40208",4,OPEN,38.22975786,-85.74823888
5065026,7/2/2018 8:49,,UNKNOWN,ABANDON VEHICLE,"ABANDONED VEHICLE ROW, STREET,  ALLEY, AVROW, VEHIC",METRO POLICE DEPARTMENT," S PRESTON ST , LOUISVILLE, KY, 40208",4,OPEN,38.22994977,-85.75017693
